customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
2001,7,38504,34217,41732,9,643,1
2002,4,2802,10308,148675,23,611,1
2003,8,9155,7949,111362,16,743,0
2004,5,9120,53990,50354,9,752,1
2005,7,40384,3150,33843,16,575,1
2006,3,48025,76740,130008,27,722,1
2007,7,48254,68617,134065,19,849,1
2008,8,22918,18896,91726,23,682,0
2009,5,21445,48175,37640,4,667,0
2010,4,31306,9805,72528,1,824,0
2011,8,17646,7237,58413,5,761,0
2012,8,47843,22056,148142,20,774,0
2013,3,32065,47543,72638,1,569,1
2014,6,26199,58556,72736,12,662,1
2015,5,42976,5343,127892,29,689,0
2016,2,17371,15500,130133,10,596,1
2017,8,12835,55222,126357,10,550,1
2018,6,46936,31375,88866,15,639,1
2019,2,3049,11662,39087,10,691,0
2020,5,32616,18964,61430,18,587,1
2021,1,39191,61638,44504,14,842,1
2022,6,48357,75666,27114,24,688,1
2023,9,21932,69215,98859,22,808,1
2024,1,30855,71042,119657,22,710,1
2025,3,8158,15284,30975,15,727,0
2026,7,44016,74789,31023,10,559,1
2027,4,8400,63389,41447,21,810,1
2028,9,43642,11435,110469,15,687,0
2029,3,16151,56340,145899,7,721,1
2030,5,2154,46078,43959,3,562,1
2031,3,5499,53293,86203,7,717,1
2032,7,7295,62403,139156,3,679,1
2033,5,13183,31124,49703,23,633,1
2034,9,30299,45919,29337,24,650,0
2035,7,13874,37247,66427,2,822,0
2036,2,33711,64752,141507,2,814,1
2037,4,6539,58573,81529,26,587,1
2038,9,43405,61101,122023,28,643,1
2039,2,49354,28646,104665,17,644,1
2040,9,3557,25049,125787,28,618,1
2041,5,39360,70385,51921,25,785,1
2042,2,17482,42158,53307,18,686,0
2043,4,3200,67417,47355,18,625,1
2044,7,47940,25289,123268,20,584,1
2045,8,3961,11823,147016,4,550,1
2046,3,47975,62160,24835,17,845,1
2047,1,22357,43975,40159,27,609,1
2048,4,12969,11540,124346,9,816,0
2049,2,3869,18364,67605,28,778,0
2050,8,47760,6611,141790,21,819,0
2051,4,29643,29663,125616,20,835,0
2052,2,25736,53991,58088,5,840,1
2053,6,39467,59679,98752,0,762,1
2054,6,24328,32977,75284,4,714,0
2055,4,26876,51115,77043,8,554,1
2056,6,22295,62890,145388,11,627,1
2057,2,4987,68387,55547,25,611,1
2058,2,23399,20071,117007,13,681,0
2059,4,47214,61275,102844,1,638,1
2060,8,34986,74369,47532,16,786,1
2061,7,21880,13938,54349,13,591,1
2062,9,5735,37195,142402,25,638,1
2063,8,45064,6000,138012,12,845,0
2064,5,5555,72588,65445,26,844,1
2065,2,42914,40304,25713,8,653,0
2066,5,41818,71449,76178,25,563,1
2067,8,46525,22764,69407,24,837,0
2068,9,20830,40494,90340,14,728,0
2069,9,18429,5373,70990,24,674,0
2070,1,7893,14161,95672,21,572,1
2071,9,15373,29350,149473,14,612,1
2072,7,48333,27351,85545,23,692,0
2073,9,4436,17305,104791,29,702,0
2074,8,9754,77353,78141,10,694,1
2075,1,11677,78797,43793,15,774,1
2076,8,6895,67953,76570,28,653,1
2077,8,20738,59458,115084,16,653,1
2078,3,31746,22358,57892,25,588,1
2079,1,49404,5267,21015,3,747,0
2080,8,33352,40513,144704,0,683,0
2081,3,40790,28092,81813,7,616,1
2082,3,42919,13338,47712,16,728,0
2083,1,6600,2412,120497,2,591,1
2084,5,30124,9543,28415,28,564,1
2085,7,28643,35496,131854,19,660,0
2086,9,41764,62692,132816,14,706,1
2087,7,10007,46425,148778,14,838,0
2088,9,46714,40756,82292,23,780,0
2089,8,38410,20888,43833,21,706,0
2090,2,45080,37735,24158,13,587,1
2091,1,41447,49295,82680,25,646,1
2092,7,9208,19955,40309,27,838,0
2093,7,19589,39841,26970,22,803,0
2094,8,44484,72640,92474,13,745,1
2095,5,18453,67510,106704,23,635,1
2096,3,37212,36911,66540,1,559,1
2097,8,44525,61031,40384,12,554,1
2098,6,48202,9357,38017,25,672,0
2099,3,33635,34479,95880,13,667,0
2100,1,34828,63476,125570,26,843,1
2101,3,19711,46811,28702,23,708,0
2102,5,4420,38208,20384,18,777,0
2103,3,32216,22150,20404,6,765,0
2104,1,1301,73180,60943,2,733,1
2105,5,46236,45286,67926,14,564,1
2106,7,1699,70450,49189,22,706,1
2107,7,1190,23352,32763,13,685,0
2108,9,11492,57069,38384,10,810,1
2109,3,36743,16397,80100,14,706,0
2110,7,7102,43555,118142,27,596,1
2111,1,20778,48959,29860,12,722,0
2112,4,27641,2728,124293,17,679,0
2113,4,35584,52517,100642,25,644,1
2114,5,33745,68234,70612,5,664,1
2115,7,24093,41954,43574,2,792,0
2116,7,1569,49280,43524,18,841,0
2117,4,39210,18779,89172,14,831,0
2118,7,35663,65932,30916,24,848,1
2119,3,37631,74936,24809,22,832,1
2120,6,46681,26466,52201,4,618,1
2121,2,8455,38939,73330,27,697,0
2122,9,5014,71896,33456,9,560,1
2123,5,12093,37270,133748,6,803,0
2124,6,19070,61163,76397,24,587,1
2125,4,36777,53934,141288,16,683,1
2126,7,17538,66895,58765,6,749,1
2127,9,11729,34307,54816,21,572,1
